timestamp,can_id,b0,b1,b2,b3,b4,b5,b6,b7,state,attack_type
0.010730951544385739,260,35,72,51,212,238,116,171,51,idle,fuzzy
0.03137619479848534,316,210,204,19,168,23,19,72,208,idle,fuzzy
0.13073868433962688,329,5,137,122,138,97,122,213,37,idle,fuzzy
0.6300494860671709,545,248,236,30,13,239,212,132,149,idle,fuzzy
0.6400840106761326,260,55,81,34,212,129,246,34,200,idle,fuzzy
0.6591595445874715,316,196,186,39,97,11,212,13,139,idle,fuzzy
0.7584475366133812,329,56,199,236,152,200,184,195,213,idle,fuzzy
1.2593622819833274,545,39,35,38,136,9,228,61,21,idle,fuzzy
1.2702950968551778,260,240,104,235,160,99,191,31,176,idle,fuzzy
1.2897733495871777,316,3,144,221,136,176,107,134,190,idle,fuzzy
1.3903225883375006,329,81,161,45,191,230,14,56,147,idle,fuzzy
1.8907186613670326,545,143,50,85,211,64,139,59,136,idle,fuzzy
1.9016853943148087,260,66,147,108,7,185,191,154,198,idle,fuzzy
1.9223664274816656,316,131,52,227,5,167,188,138,234,idle,fuzzy
2.0222724784621993,329,57,52,124,34,162,167,204,223,idle,fuzzy
2.5222899382689534,545,19,103,141,178,196,58,166,42,idle,fuzzy
2.5324702651352693,260,204,61,74,178,1,148,10,223,idle,fuzzy
2.5531105492690434,316,200,173,228,169,44,20,203,135,idle,fuzzy
2.652157057312017,329,189,18,9,223,89,248,155,241,idle,fuzzy
3.1518673574612253,545,210,224,119,122,140,152,232,61,idle,fuzzy
3.162214203134561,260,210,199,255,150,60,39,16,72,idle,fuzzy
3.1821445637135355,316,33,213,66,133,161,142,189,169,idle,fuzzy
3.2818075108303497,329,14,103,206,43,58,191,150,221,idle,fuzzy
3.7820258749143503,545,40,255,122,75,57,19,139,76,idle,fuzzy
3.7926531193147612,260,96,147,187,38,171,198,217,82,idle,fuzzy
3.812428337464194,316,132,106,107,236,14,22,128,153,idle,fuzzy
3.9118544938180113,329,57,63,109,226,124,4,213,167,idle,fuzzy
4.41137234935334,545,130,148,81,166,22,208,37,42,idle,fuzzy
4.42195075093171,260,195,250,71,92,232,233,255,58,idle,fuzzy
4.442340176464275,316,138,79,149,59,212,227,245,80,idle,fuzzy
4.54155113198341,329,98,123,135,108,156,26,41,14,idle,fuzzy
5.040727211134237,545,51,191,32,172,105,5,217,225,idle,fuzzy
5.04762413528769,260,92,115,90,207,23,66,115,48,idle,fuzzy
5.068528669043523,316,253,23,113,83,85,158,157,174,idle,fuzzy
5.167567642421306,329,32,144,222,192,212,64,115,229,idle,fuzzy
5.667898758265379,545,195,240,92,86,205,227,30,77,idle,fuzzy
5.678601658737695,260,166,77,146,3,111,17,68,131,idle,fuzzy
5.697807232541923,316,231,63,213,141,75,116,123,186,idle,fuzzy
5.797511644230322,329,62,84,247,242,237,216,7,93,idle,fuzzy
6.296930098370303,545,88,128,240,142,58,6,6,152,idle,fuzzy
6.307090547325932,260,146,148,0,194,4,38,91,65,idle,fuzzy
6.327432927414612,316,192,9,246,155,133,164,155,192,idle,fuzzy
6.427742011389479,329,69,95,98,84,246,77,194,255,idle,fuzzy
6.927423468098286,545,243,106,232,90,79,209,77,151,idle,fuzzy
6.937617095969124,260,232,210,102,54,197,106,117,3,idle,fuzzy
6.9586105523117405,316,197,166,224,49,58,185,2,9,idle,fuzzy
