timestamp,can_id,b0,b1,b2,b3,b4,b5,b6,b7,state,attack_type
0.009282657670586933,260,197,35,242,179,48,39,142,9,idle,fuzzy
0.030025547080188935,316,175,99,247,136,24,82,66,67,idle,fuzzy
0.13073209516256543,329,137,123,224,44,113,201,77,72,idle,fuzzy
0.6301871906115948,545,149,237,253,137,122,168,179,116,idle,fuzzy
0.6401383068008093,260,189,43,87,20,221,91,62,16,idle,fuzzy
0.6591669571136208,316,225,118,87,196,203,63,42,47,idle,fuzzy
0.7600386367188011,329,136,90,222,198,41,180,52,83,idle,fuzzy
1.260909216934432,545,178,192,106,55,246,95,232,140,idle,fuzzy
1.2718697904452418,260,138,75,70,235,207,199,110,252,idle,fuzzy
1.2910138984507589,316,80,206,175,154,0,95,225,76,idle,fuzzy
1.3912463628510818,329,49,180,230,200,185,43,90,129,idle,fuzzy
1.8920285837514172,545,98,187,94,173,140,101,105,48,idle,fuzzy
1.9012728920627422,260,210,35,141,209,35,38,165,254,idle,fuzzy
1.9210890280731014,316,75,99,98,231,65,103,100,255,idle,fuzzy
2.0208227495305238,329,166,195,139,24,89,196,1,174,idle,fuzzy
2.520412683330223,545,76,28,47,165,74,128,165,118,idle,fuzzy
2.5311815615147055,260,222,165,204,106,200,228,253,58,idle,fuzzy
2.551119322561244,316,126,169,217,168,171,66,178,70,idle,fuzzy
2.6504857712710117,329,190,83,69,2,100,192,166,167,idle,fuzzy
3.1513303062857165,545,223,5,131,174,179,37,61,162,idle,fuzzy
3.161262739705829,260,217,104,219,21,5,127,16,249,idle,fuzzy
3.1819103761086844,316,215,52,62,154,30,167,251,130,idle,fuzzy
3.281960703742816,329,61,151,185,73,163,61,45,235,idle,fuzzy
3.7814717655538144,545,23,54,64,58,88,78,223,217,idle,fuzzy
3.7912846830741085,260,55,185,159,247,19,32,90,135,idle,fuzzy
3.810840555308258,316,128,156,20,148,39,81,16,167,idle,fuzzy
3.91150578504528,329,227,56,233,119,229,109,20,149,idle,fuzzy
4.410578255798105,545,98,206,138,76,223,199,66,183,idle,fuzzy
4.421091764320714,260,150,57,247,220,239,244,43,77,idle,fuzzy
4.4409135819234,316,155,30,84,197,164,204,169,39,idle,fuzzy
4.541306682003847,329,159,253,15,64,127,170,158,2,idle,fuzzy
5.042149578501435,545,142,103,11,212,21,124,187,184,idle,fuzzy
5.052069814271755,260,234,98,212,155,180,185,46,187,idle,fuzzy
5.071438688694706,316,162,145,147,58,155,170,188,138,idle,fuzzy
5.172132713124303,329,242,145,222,95,128,6,8,54,idle,fuzzy
5.672188937304758,545,118,98,249,32,132,25,164,40,idle,fuzzy
5.681458870292902,260,117,30,226,130,39,85,130,0,idle,fuzzy
5.70196614920946,316,234,214,88,52,12,15,85,117,idle,fuzzy
5.802562210612177,329,104,46,133,233,126,17,100,80,idle,fuzzy
6.302383018313461,545,14,91,109,50,64,214,235,37,idle,fuzzy
6.3119911286309565,260,49,142,28,188,149,109,144,32,idle,fuzzy
6.331949182715927,316,19,63,66,227,145,153,225,120,idle,fuzzy
6.4318112817073105,329,188,106,185,51,229,161,221,188,idle,fuzzy
6.931663846568079,545,24,194,64,230,23,22,53,7,idle,fuzzy
6.94166889878021,260,226,141,98,19,144,134,101,202,idle,fuzzy
6.961160759828171,316,63,78,190,19,124,252,106,29,idle,fuzzy
7.060562468832905,329,111,111,122,84,180,176,208,97,idle,fuzzy
7.561495318982712,545,114,222,96,79,105,230,203,138,idle,fuzzy
7.571616843725144,260,52,247,112,132,242,190,78,181,idle,fuzzy
7.591871558207418,316,183,199,255,246,244,92,197,188,idle,fuzzy
7.692127349325837,329,216,234,66,108,133,2,23,236,idle,fuzzy
8.1913431885124,545,17,201,144,136,164,183,89,81,idle,fuzzy
8.200661825004318,260,99,92,202,170,17,157,224,5,idle,fuzzy
